,title,brand,weight,price,product_rating,bought_last_month,num_reviews,description,product_upc,honey_seller_rank,food_rank,asin
0,        Tupelo Honey 32oz - 2 pound -Two pound Jar- from Sleeping Bear Farms Beekeepers in the Florida Apalachicola River Basin       ,Sleeping Bear Farms,32 Ounce,43.00,4.7 out of 5 stars, 100+ bought in past month ,987 ratings," 
 Florida Tupelo honey is one of the rarest honeys with an exquisite buttery flavor and light color. Tuplelo trees thrive along the rivers and creeks of the Florida panhandle and have delicate fragrant blossoms that can produce wonderful honey crops. Our hives are handled by our own beekeepers, who also extract the honey crop every year! Our bees, our honey, our facility! ~Team Bear  ",080833102324,  #243 in Honey ,"  Best Sellers Rank:  #35,054 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #243 in Honey  ",B009WHHL1I
1,"        Fischer’s 100% Pure, Raw & Unfiltered Honey, 40 oz – USA Made Honey – All-Natural Sweetener – Rich Flavor Profile, Packed with Nutrients       ",Fischer's,40.0 Ounce,14.95,4.6 out of 5 stars, 2K+ bought in past month ,580 ratings," 
 Fischer’s Raw Honey is 100% pure, unprocessed, honey made in the USA, and packaged in a convenient 40 oz squeeze bottle for easy use. Responsibly sourced from beekeepers all over the U.S. dedicated to bee welfare, our honey is 100% raw, unfiltered, and unpasteurized—no additives, syrups, or flavors. nOur all-natural honey serves as a sweetener and sugar substitute, perfect for drizzling on fruits, yogurt, toast, or pancakes. Its rich flavor and sweetness elevate your tea, coffee, and desserts, and give a distinctive twist to your dishes. nWith naturally preserved vitamins, minerals, and antioxidants, our unfiltered raw honey offers full nutritional benefits. Over time, it may crystallize, showcasing its pure origin.nExperience the unadulterated sweetness of raw unpasteurized honey, straight from the hive to your table. Available on Amazon and grocery stores across the country, our honey is the essence of quality and authenticity. Treat yourself to the pure indulgence of raw, unfiltered honey—nature's golden elixir.  ",011137040401,  #15 in Honey ,"  Best Sellers Rank:  #2,587 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #15 in Honey  ",B08Y6B2TWZ
2,"        Sue Bee Pure Premium Honey From USA Beekeepers, 80 oz, Pack of 3       ",Sue Bee,240.0 Ounce,87.49,4.6 out of 5 stars, 50+ bought in past month ,"1,338 ratings",,,  #68 in Honey ,"  Best Sellers Rank:  #10,299 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #68 in Honey  ",B09SQDJVVH
3,"        Sue Bee Naturally Flavored Vanilla Honey For Coffee and Pancakes, Salads, Made in USA, 16 oz       ",Sue Bee,16.0 Fluid Ounces,13.49,4.5 out of 5 stars, 100+ bought in past month ,688 ratings,,018700000725,  #104 in Honey ,"  Best Sellers Rank:  #14,688 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #104 in Honey  ",B08KW4LXTC
4,"        Mike's Hot Honey, America's #1 Brand of Hot Honey, Spicy Honey Infused with Chili Peppers, Certified Kosher, Gluten-Free, Paleo-Friendly, Sweet Heat, Perfect for Hot Sauce Lovers (10oz Bottle, 1 Pack)       ",Mike's Hot Honey,10.0 Ounce,13.49,4.6 out of 5 stars, 10K+ bought in past month ,"42,061 ratings",,860012002351,  #2 in Hot Sauce ,  Best Sellers Rank:  #546 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #2 in Hot Sauce  ,B085B1YZ8Q
5,"        Rigoni di Asiago Acacia Honey, Pure Honey, 10.58 oz (Pack of 6)       ",Rigoni di Asiago,63.48 Ounce,54.74,4.4 out of 5 stars,,448 ratings," 
 Mielbio organic honey is collected from selected Italian beehives. A natural food par excellence, honey requires careful processing to maintain its toning, vitalizing and soothing properties. Defined as “raw” honey because it is cold-processed (patented by Rigoni di Asiago) it is rich in vitamins, minerals, enzymes and organic acids. Rigoni di Asiago has always prioritized innovation to achieve the healthiest and tastiest products that are both good for you and respect nature. The Rigoni family lives in the Altopiano di Asiago, a mountain plateau in North Italy famous for its sunny climate, meadows and woodlands. Rigoni di Asiago products embrace a love of good food, authentic taste and quality. Each product is the result of scrupulous work that complies with the highest standards.  ",,  #198 in Honey ,"  Best Sellers Rank:  #27,861 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #198 in Honey  ",B005X2TACY
6,"        Mike’s Hot Honey, 12 oz Squeeze Bottle (1 Pack), Honey with a Kick, Sweetness & Heat, 100% Pure Honey, Shelf-Stable, Gluten-Free & Paleo       ",Mike's Hot Honey,12.0 Ounce,11.99,4.6 out of 5 stars, 3K+ bought in past month ,"14,033 ratings",,767563619840 865372000009 711717792347,"  #1,224 in Hot Sauce ","  Best Sellers Rank:  #87,221 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #1,224 in Hot Sauce  ",B011LWRBES
7,"        Florida Raw Apiaries | Raw and Unfiltered Wildflower Honey with Comb, 16 Ounce       ",Buzzn Bee,16.0 Ounce,21.99,4.5 out of 5 stars, 50+ bought in past month ,574 ratings," 
 From Florida Raw Apiaries, raw and unfiltered wildflower honey with the comb is a delicious and natural sweetener. The honey is extracted directly from the hive and is left unprocessed, unpasteurized, and unfiltered, ensuring that it retains all of its beneficial enzymes, vitamins, minerals, and antioxidants. Florida Raw Wildflower honey in a 1lb jar makes a perfect gift for yourself and others.  ",764852006169,  #704 in Honey ,"  Best Sellers Rank:  #106,830 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #704 in Honey  ",B07DRJ3Y9C
8,"        MANUKA DOCTOR - MGO 80+ SQUEEZY Manuka Honey Multifloral, 100% Pure New Zealand Honey. Certified. Guaranteed. RAW. Non-GMO (10.58 oz)       ",Manuka Doctor,10.58 Ounce,19.99,4.6 out of 5 stars, 1K+ bought in past month ,837 ratings,,810057720918,  #33 in Honey ,"  Best Sellers Rank:  #5,468 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #33 in Honey  ",B0BCH8HXZH
9,"        Wedderspoon Raw Manuka Honey, Unpasteurized, Genuine New Zealand Honey, Multi-Functional, Non-GMO Superfood, Convenient Squeeze Bottle, KFactor 16, 12 Ounce       ",Wedderspoon,12.0 Ounce,29.25,4.5 out of 5 stars, 1K+ bought in past month ,884 ratings," 
 A golden superfood, straight from New Zealand, Manuka Honey is one of nature’s most complex creations. Manuka honey is made exclusively by bees who consume the nectar of Manuka blossoms, a plant whose properties are what make Manuka honey so special. Wedderspoon believes that Mother Nature knows best, which is why we don’t process, age, heat, or manipulate our KFactor honey. We allow our bees to roam freely through remote terrain on New Zealand's South Island and feast on wild Manuka blossoms, then we cream our honey fresh so it tastes like Manuka should. The result is Manuka honey brimming with a unique and creamy taste and full of living enzymes and antioxidants to empower your daily wellness.  ",814422022584 814422024281 719243418144,  #78 in Honey ,"  Best Sellers Rank:  #11,909 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)   #78 in Honey  ",B07DGGY97G
